document_id	courier_id	year	record_number	pages	catalogue_title	authors	filename
2543	78380	1971	52870	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 32, 33, 34, 35]	The Public and modern art: some unexpected findings of a UNESCO-backed inquiry		1971_078380_52870.txt
2544	78380	1971	52871	[15, 18, 30, 31]	Modern painting: the public puts its cards on the table	Cameron, Duncan F.	1971_078380_52871.txt
2545	78380	1971	52873	[35, 36]	25 years of UNESCO publications on art		1971_078380_52873.txt
2546	78380	1971	52875	[37]	School for disarmament: an Italian initiative		1971_078380_52875.txt
2547	78380	1971	52877	[38, 39]	Educational aid for the Palestine refugees: appeal by Mr. René Maheu, Director-General of UNESCO	UNESCO. Director-General, 1962-1974 (Maheu, R.)	1971_078380_52877.txt
2548	78380	1971	52906	[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]	Anyone can play		1971_078380_52906.txt
2549	78447	1971	54302	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 32]	Race and I.Q.	Klineberg, Otto	1971_078447_54302.txt
2550	78447	1971	54304	[14, 15, 16, 17]	Inequality before the law in South Africa	Rubin, Leslie	1971_078447_54304.txt
2551	78447	1971	54306	[20, 21, 22]	The Other person's skin	Awad, Mohamed	1971_078447_54306.txt
2552	78447	1971	54308	[24, 25, 26, 27]	A 19th century champion of anti-racism in New Guinea	Butinov, Nikolai A.	1971_078447_54308.txt
2553	78447	1971	54310	[28, 29, 30, 32]	Learning the three T's in school	Mazrui, Ali A.	1971_078447_54310.txt
2554	52257	1972	52256	[4, 6]	A Year under the sign of the book	Behrstock, Julian	1972_052257_52256.txt
2555	52257	1972	52341	[12, 13, 14, 15]	The Books people read: a UNESCO inquiry	Wegman, Edward	1972_052257_52341.txt
2556	52257	1972	52342	[16, 17, 20, 21]	New ways to promote reading: a Tunisian school experiment	Fitouri, Chadly	1972_052257_52342.txt
2557	52257	1972	52343	[22, 23, 24, 25]	Renaissance of Arab thought and literature	Ouannès, Philippe Salim	1972_052257_52343.txt
2558	52257	1972	52344	[26, 27]	The Word-shrinkers	Brabyn, Howard	1972_052257_52344.txt
2559	52257	1972	52354	[28, 29, 30, 31]	The University press in the service of scholarship	English, Maurice	1972_052257_52354.txt
2560	52257	1972	52357	[32]	New copyright revision means more books for the Third World	Ravelonanosy, Georges	1972_052257_52357.txt
2561	52257	1972	188090	[4, 5, 6, 7, 8, 9, 10, 11]	Book, dear friend	Adoum, Jorge Enrique	1972_052257_188090.txt
2562	78271	1972	51932	[4, 5]	Books for all: International Book Year, 1972	UNESCO. Director-General, 1962-1974 (Maheu, R.)	1972_078271_51932.txt
2563	78271	1972	51933	[6, 7, 8, 9, 10, 11, 12]	Reading habits and book hunger	Escarpit, Robert	1972_078271_51933.txt
2564	78271	1972	51941	[12, 13, 14, 15]	Books, electronics, television	Vladimirov, Lev I.	1972_078271_51941.txt
2565	78271	1972	51945	[16, 17, 20]	The Yestermorrow of the book	McLuhan, Herbert Marshall	1972_078271_51945.txt
2566	78271	1972	51950	[23]	The Image and the word	Moravia, Alberto	1972_078271_51950.txt
2567	78271	1972	51952	[24, 25, 26, 28, 29]	Reveries of a solitary reader	Carpentier, Alejo	1972_078271_51952.txt
2568	78271	1972	51955	[30, 31, 32]	Books are young in the Third World	Rao, Y.V. Lakshmana	1972_078271_51955.txt
2569	78273	1972	51958	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	In defence of DDT and other pesticides	Borlaug, Norman E.	1972_078273_51958.txt
2570	78273	1972	51959	[14, 15, 16, 17, 34, 35]	Ancient irrigation and modern science	Andrianov, Boris Vassilievich	1972_078273_51959.txt
2571	78273	1972	51961	[18, 19, 20, 21, 22, 23]	Treasures of medieval Bohemia; exploit of Czechoslovak colour printing for International Book Year		1972_078273_51961.txt
2572	78273	1972	51962	[24, 25, 26, 27, 28]	The Bog people of Denmark: Iron-Age Man preserved	Glob, Peter V.	1972_078273_51962.txt
2573	78273	1972	51963	[28, 29, 30, 31, 32]	Headless 'Venus figures' of Stone-Age Malta	Almasy, Paul	1972_078273_51963.txt
2574	78273	1972	51964	[33]	Six hundred million new literates in twenty years		1972_078273_51964.txt
2575	78274	1972	52055	[4, 5, 6, 7, 8, 9]	Latin America's cultural explosion	Fernández Moreno, César	1972_078274_52055.txt
2576	78274	1972	52056	[10, 11, 12, 13, 14, 15, 31, 32]	Literature and under-development, a problem of contemporary Latin America	Candido, Antonio	1972_078274_52056.txt
2577	78274	1972	52057	[16, 17, 18, 19, 20, 21, 32]	Pathways to a new art	Franco, Jean	1972_078274_52057.txt
2578	78274	1972	52058	[22, 23, 24, 25, 26]	Cage bars of reality: a hard-hitting article on art and the artist in Latin America	Adoum, Jorge Enrique	1972_078274_52058.txt
2579	78274	1972	52059	[27, 28, 29, 30, 31]	The New language of Latin American literature	Bareiro Saguier, Rubén	1972_078274_52059.txt
2580	78276	1972	52086	[4, 6, 7]	Diving into the past; the new world of underwater archaeology	Barinov, Mark M.	1972_078276_52086.txt
2581	78276	1972	52087	[8, 9, 10, 11, 15, 38]	The Trials of an underwater archaeologist	Bass, George F.	1972_078276_52087.txt
2582	78276	1972	52088	[16, 17, 18]	Under the icy seas of northern Europe	Crumlin-Pedersen, Ole	1972_078276_52088.txt
2583	78276	1972	52089	[23, 24, 25, 26, 27]	Buried treasure beneath the Spanish main	Peterson, Mendel L.	1972_078276_52089.txt
2584	78276	1972	52090	[28, 29, 38]	The Drowned city of Port Royal	Marx, Robert F.	1972_078276_52090.txt
2585	78276	1972	52092	[30, 31, 32, 33]	The Sacred well of Chichén-Itzá	Bush Romero, Pablo	1972_078276_52092.txt
2586	78276	1972	52093	[34, 35, 36]	The Archaeologist in deep water	Bascom, Willard	1972_078276_52093.txt
2587	78276	1972	52095	[12, 13]	17 major wreck sites in the Mediterranean		1972_078276_52095.txt
2588	78279	1972	52615	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	Homo sapiens: 20 million years in the making	Howells, William W.	1972_078279_52615.txt
2589	78279	1972	52616	[14, 15, 16, 17, 18, 19, 20, 21]	The Life and times of Stone Age man	Bordes, François	1972_078279_52616.txt
2590	78279	1972	52622	[24, 25, 26, 27, 28, 29]	Our African ancestors	Leakey, Louis S.B.	1972_078279_52622.txt
2591	78279	1972	52624	[30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	Cave wall art comes to man	Leroi-Gourhan, André	1972_078279_52624.txt
2592	78279	1972	52626	[40, 41, 42, 43, 44, 45]	The Long journey of the primates	Napier, John	1972_078279_52626.txt
2593	78279	1972	52638	[46, 47, 48, 49]	Where did the first Americans come from? Antarctica, Siberia or across the Pacific...	Comas, Juan	1972_078279_52638.txt
2594	78279	1972	52639	[50, 51, 52]	Early man and the emergence of races	Yakimov, Vsevolod P.	1972_078279_52639.txt
2595	78279	1972	52640	[53, 54, 55, 56, 65]	The Puzzle of Peking man	Leroy, Pierre	1972_078279_52640.txt
2596	78279	1972	52641	[57, 58, 69, 70]	Man, the first walkie-talkie	Bunak, Victor	1972_078279_52641.txt
2597	78279	1972	52643	[59, 60, 61, 62, 63, 64, 65]	Old fossils and antediluvian theories	Leakey, Louis S.B.|Goodall, Vanne Morris	1972_078279_52643.txt
